"id","pclass","survived","name","sex","age","sibsp","parch","ticket","fare","embarked","home.dest"
479,2,1,"Laroche, Miss. Louise","female",1,1,2,"SC/Paris 2123",41.5792,"C","Paris / Haiti"
391,2,0,"Deacon, Mr. Percy William","male",17,0,0,"S.O.C. 14879",73.5,"S",""
351,2,1,"Brown, Miss. Edith Eileen","female",15,0,2,"29750",39,"S","Cape Town, South Africa / Seattle, WA"
749,3,0,"Danbom, Mr. Ernst Gilbert","male",34,1,1,"347080",14.4,"S","Stanton, IA"
948,3,1,"Landergren, Miss. Aurora Adelia","female",22,0,0,"C 7077",7.25,"S",""
403,2,1,"Duran y More, Miss. Florentina","female",30,1,0,"SC/PARIS 2148",13.8583,"C","Barcelona, Spain / Havana, Cuba"
176,1,0,"Kenyon, Mr. Frederick R","male",41,1,0,"17464",51.8625,"S","Southington / Noank, CT"
355,2,0,"Bryhl, Mr. Kurt Arnold Gottfrid","male",25,1,0,"236853",26,"S","Skara, Sweden / Rockford, IL"
768,3,0,"Demetri, Mr. Marinko","male",NA,0,0,"349238",7.8958,"S",""
56,1,1,"Carter, Miss. Lucile Polk","female",14,1,2,"113760",120,"S","Bryn Mawr, PA"
1142,3,0,"Rice, Master. Albert","male",10,4,1,"382652",29.125,"Q",""
972,3,0,"Linehan, Mr. Michael","male",NA,0,0,"330971",7.8792,"Q",""
696,3,0,"Burns, Miss. Mary Delia","female",18,0,0,"330963",7.8792,"Q","Co Sligo, Ireland New York, NY"
758,3,1,"Davison, Mrs. Thomas Henry (Mary E Finck)","female",NA,1,0,"386525",16.1,"S","Liverpool, England Bedford, OH"
533,2,0,"Peruschitz, Rev. Joseph Maria","male",41,0,0,"237393",13,"S",""
1141,3,0,"Reynolds, Mr. Harold J","male",21,0,0,"342684",8.05,"S",""
766,3,1,"Dean, Mrs. Bertram (Eva Georgetta Light)","female",33,1,2,"C.A. 2315",20.575,"S","Devon, England Wichita, KS"
1014,3,0,"Meanwell, Miss. (Marion Ogden)","female",NA,0,0,"SOTON/O.Q. 392087",8.05,"S",""
1216,3,0,"Smith, Mr. Thomas","male",NA,0,0,"384461",7.75,"Q",""
84,1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)","female",64,1,1,"112901",26.55,"S","Milwaukee, WI"
291,1,0,"Taussig, Mr. Emil","male",52,1,1,"110413",79.65,"S","New York, NY"
73,1,1,"Clark, Mrs. Walter Miller (Virginia McDowell)","female",26,1,0,"13508",136.7792,"C","Los Angeles, CA"
30,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan","male",28,0,0,"110564",26.55,"S","Stockholm, Sweden / Washington, DC"
787,3,0,"Edvardsson, Mr. Gustaf Hjalmar","male",18,0,0,"349912",7.775,"S","Tofta, Sweden Joliet, IL"
645,3,0,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson","male",40,1,5,"347077",31.3875,"S","Sweden  Worcester, MA"
541,2,1,"Quick, Miss. Phyllis May","female",2,1,1,"26360",26,"S","Plymouth, Devon / Detroit, MI"
340,2,1,"Becker, Master. Richard F","male",1,2,1,"230136",39,"S","Guntur, India / Benton Harbour, MI"
1299,3,0,"Wittevrongel, Mr. Camille","male",36,0,0,"345771",9.5,"S",""
957,3,0,"Lefebre, Miss. Jeannie","female",NA,3,1,"4133",25.4667,"S",""
96,1,1,"Dodge, Mrs. Washington (Ruth Vidaver)","female",54,1,1,"33638",81.8583,"S","San Francisco, CA"
190,1,0,"Long, Mr. Milton Clyde","male",29,0,0,"113501",30,"S","Springfield, MA"
337,2,1,"Beane, Mr. Edward","male",32,1,0,"2908",26,"S","Norwich / New York, NY"
660,3,1,"Baclini, Miss. Marie Catherine","female",5,2,1,"2666",19.2583,"C","Syria New York, NY"
310,1,1,"Wick, Miss. Mary Natalie","female",31,0,2,"36928",164.8667,"S","Youngstown, OH"
1049,3,1,"Nakid, Miss. Maria (""Mary"")","female",1,0,2,"2653",15.7417,"C",""
361,2,1,"Caldwell, Mr. Albert Francis","male",26,1,1,"248738",29,"S","Bangkok, Thailand / Roseville, IL"
545,2,0,"Renouf, Mr. Peter Henry","male",34,1,0,"31027",21,"S","Elizabeth, NJ"
22,1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)","female",47,1,1,"11751",52.5542,"S","New York, NY"
869,3,0,"Holm, Mr. John Fredrik Alexander","male",43,0,0,"C 7075",6.45,"S",""
983,3,0,"Lyntakoff, Mr. Stanko","male",NA,0,0,"349235",7.8958,"S",""
700,3,0,"Cacic, Mr. Luka","male",38,0,0,"315089",8.6625,"S","Croatia"
1011,3,0,"McNamee, Mr. Neal","male",24,1,0,"376566",16.1,"S",""
876,3,0,"Ibrahim Shawah, Mr. Yousseff","male",30,0,0,"2685",7.2292,"C",""
128,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)","female",35,1,0,"113803",53.1,"S","Scituate, MA"
1295,3,0,"Williams, Mr. Leslie","male",28.5,0,0,"54636",16.1,"S",""
1097,3,0,"Palsson, Master. Gosta Leonard","male",2,3,1,"349909",21.075,"S",""
271,1,1,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)","female",18,1,0,"13695",60,"S","Huntington, WV"
702,3,0,"Calic, Mr. Petar","male",17,0,0,"315086",8.6625,"S",""
1001,3,1,"McCormack, Mr. Thomas Joseph","male",NA,0,0,"367228",7.75,"Q",""
504,2,1,"Mellors, Mr. William John","male",19,0,0,"SW/PP 751",10.5,"S","Chelsea, London"
1140,3,0,"Rekic, Mr. Tido","male",38,0,0,"349249",7.8958,"S",""
814,3,0,"Franklin, Mr. Charles (Charles Fardon)","male",NA,0,0,"SOTON/O.Q. 3101314",7.25,"S",""
626,3,1,"Andersson, Miss. Erna Alexandra","female",17,4,2,"3101281",7.925,"S","Ruotsinphyhtaa, Finland New York, NY"
194,1,1,"Madill, Miss. Georgette Alexandra","female",15,0,1,"24160",211.3375,"S","St Louis, MO"
1093,3,0,"Oreskovic, Mr. Luka","male",20,0,0,"315094",8.6625,"S",""
735,3,1,"Coutts, Master. William Loch ""William""","male",3,1,1,"C.A. 37671",15.9,"S","England Brooklyn, NY"
404,2,0,"Eitemiller, Mr. George Floyd","male",23,0,0,"29751",13,"S","England / Detroit, MI"
593,2,0,"West, Mr. Edwy Arthur","male",36,1,2,"C.A. 34651",27.75,"S","Bournmouth, England"
784,3,1,"Duquemin, Mr. Joseph","male",24,0,0,"S.O./P.P. 752",7.55,"S","England Albion, NY"
1302,3,0,"Youseff, Mr. Gerious","male",45.5,0,0,"2628",7.225,"C",""
1279,3,0,"Vendel, Mr. Olof Edvin","male",20,0,0,"350416",7.8542,"S",""
220,1,1,"Omont, Mr. Alfred Fernand","male",NA,0,0,"F.C. 12998",25.7417,"C","Paris, France"
121,1,1,"Frauenthal, Mr. Isaac Gerald","male",43,1,0,"17765",27.7208,"C","New York, NY"
1286,3,0,"Wenzel, Mr. Linhart","male",32.5,0,0,"345775",9.5,"S",""
482,2,1,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)","female",22,1,2,"SC/Paris 2123",41.5792,"C","Paris / Haiti"
104,1,1,"Endres, Miss. Caroline Louise","female",38,0,0,"PC 17757",227.525,"C","New York, NY"
134,1,1,"Goldenberg, Mr. Samuel L","male",49,1,0,"17453",89.1042,"C","Paris, France / New York, NY"
636,3,0,"Arnold-Franchi, Mr. Josef","male",25,1,0,"349237",17.8,"S","Altdorf, Switzerland"
319,1,0,"Williams-Lambert, Mr. Fletcher Fellows","male",NA,0,0,"113510",35,"S","London, England"
520,2,0,"Norman, Mr. Robert Douglas","male",28,0,0,"218629",13.5,"S","Glasgow"
335,2,0,"Banfield, Mr. Frederick James","male",28,0,0,"C.A./SOTON 34068",10.5,"S","Plymouth, Dorset / Houghton, MI"
614,3,1,"Albimona, Mr. Nassef Cassem","male",26,0,0,"2699",18.7875,"C","Syria Fredericksburg, VA"
557,2,0,"Sharp, Mr. Percival James R","male",27,0,0,"244358",26,"S","Hornsey, England"
435,2,1,"Hart, Miss. Eva Miriam","female",7,0,2,"F.C.C. 13529",26.25,"S","Ilford, Essex / Winnipeg, MB"
353,2,1,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)","female",40,1,1,"29750",39,"S","Cape Town, South Africa / Seattle, WA"
197,1,1,"Marechal, Mr. Pierre","male",NA,0,0,"11774",29.7,"C","Paris, France"
449,2,0,"Hocking, Mr. Samuel James Metcalfe","male",36,0,0,"242963",13,"S","Devonport, England"
808,3,0,"Ford, Miss. Robina Maggie ""Ruby""","female",9,2,2,"W./C. 6608",34.375,"S","Rotherfield, Sussex, England Essex Co, MA"
1082,3,1,"O'Leary, Miss. Hanora ""Norah""","female",NA,0,0,"330919",7.8292,"Q",""
70,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)","female",NA,0,1,"113505",55,"S","St Leonards-on-Sea, England Ohio"
1154,3,0,"Robins, Mrs. Alexander A (Grace Charity Laury)","female",47,1,0,"A/5. 3337",14.5,"S",""
874,3,0,"Humblen, Mr. Adolf Mathias Nicolai Olsen","male",42,0,0,"348121",7.65,"S",""
1095,3,1,"Osman, Mrs. Mara","female",31,0,0,"349244",8.6833,"S",""
250,1,1,"Ryerson, Master. John Borie","male",13,2,2,"PC 17608",262.375,"C","Haverford, PA / Cooperstown, NY"
345,2,1,"Bentham, Miss. Lilian W","female",19,0,0,"28404",13,"S","Rochester, NY"
928,3,0,"Khalil, Mr. Betros","male",NA,1,0,"2660",14.4542,"C",""
167,1,0,"Hoyt, Mr. William Fisher","male",NA,0,0,"PC 17600",30.6958,"C","New York, NY"
601,3,0,"Abbing, Mr. Anthony","male",42,0,0,"C.A. 5547",7.55,"S",""
160,1,1,"Hippach, Miss. Jean Gertrude","female",16,0,1,"111361",57.9792,"C","Chicago, IL"
1062,3,1,"Nilsson, Miss. Helmina Josefina","female",26,0,0,"347470",7.8542,"S",""
1218,3,0,"Soholt, Mr. Peter Andreas Lauritz Andersen","male",19,0,0,"348124",7.65,"S",""
857,3,1,"Healy, Miss. Hanora ""Nora""","female",NA,0,0,"370375",7.75,"Q",""
1179,3,0,"Sage, Mr. George John Jr","male",NA,8,2,"CA. 2343",69.55,"S",""
658,3,1,"Baclini, Miss. Eugenie","female",0.75,2,1,"2666",19.2583,"C","Syria New York, NY"
90,1,0,"Davidson, Mr. Thornton","male",31,1,0,"F.C. 12750",52,"S","Montreal, PQ"
439,2,1,"Herman, Miss. Kate","female",24,1,2,"220845",65,"S","Somerset / Bernardsville, NJ"
434,2,0,"Harris, Mr. Walter","male",30,0,0,"W/C 14208",10.5,"S","Walthamstow, England"
126,1,0,"Fry, Mr. Richard","male",NA,0,0,"112058",0,"S",""
173,1,0,"Julian, Mr. Henry Forbes","male",50,0,0,"113044",26,"S","London"
695,3,0,"Burke, Mr. Jeremiah","male",19,0,0,"365222",6.75,"Q","Co Cork, Ireland Charlestown, MA"
864,3,0,"Hendekovic, Mr. Ignjac","male",28,0,0,"349243",7.8958,"S",""
1214,3,0,"Slocovski, Mr. Selman Francis","male",NA,0,0,"SOTON/OQ 392086",8.05,"S",""
1244,3,0,"Thomas, Mr. Tannous","male",NA,0,0,"2684",7.225,"C",""
208,1,1,"Minahan, Miss. Daisy E","female",33,1,0,"19928",90,"Q","Green Bay, WI"
499,2,0,"McCrae, Mr. Arthur Gordon","male",32,0,0,"237216",13.5,"S","Sydney, Australia"
275,1,1,"Spedden, Mr. Frederic Oakley","male",45,1,1,"16966",134.5,"C","Tuxedo Park, NY"
20,1,0,"Beattie, Mr. Thomson","male",36,0,0,"13050",75.2417,"C","Winnipeg, MN"
184,1,1,"Lesurer, Mr. Gustave J","male",35,0,0,"PC 17755",512.3292,"C",""
1013,3,0,"McNeill, Miss. Bridget","female",NA,0,0,"370368",7.75,"Q",""
1160,3,1,"Roth, Miss. Sarah A","female",NA,0,0,"342712",8.05,"S",""
512,2,0,"Myles, Mr. Thomas Francis","male",62,0,0,"240276",9.6875,"Q","Cambridge, MA"
667,3,0,"Barbara, Mrs. (Catherine David)","female",45,0,1,"2691",14.4542,"C","Syria Ottawa, ON"
1284,3,0,"Warren, Mr. Charles William","male",NA,0,0,"C.A. 49867",7.55,"S",""
352,2,0,"Brown, Mr. Thomas William Solomon","male",60,1,1,"29750",39,"S","Cape Town, South Africa / Seattle, WA"
1197,3,1,"Sheerlinck, Mr. Jan Baptist","male",29,0,0,"345779",9.5,"S",""
592,2,1,"West, Miss. Constance Mirium","female",5,1,2,"C.A. 34651",27.75,"S","Bournmouth, England"
717,3,0,"Chronopoulos, Mr. Apostolos","male",26,1,0,"2680",14.4542,"C","Greece"
261,1,1,"Shutes, Miss. Elizabeth W","female",40,0,0,"PC 17582",153.4625,"S","New York, NY / Greenwich CT"
304,1,0,"Warren, Mr. Frank Manley","male",64,1,0,"110813",75.25,"C","Portland, OR"
1191,3,1,"Sap, Mr. Julius","male",25,0,0,"345768",9.5,"S",""
339,2,0,"Beauchamp, Mr. Henry James","male",28,0,0,"244358",26,"S","England"
138,1,1,"Graham, Miss. Margaret Edith","female",19,0,0,"112053",30,"S","Greenwich, CT"
941,3,0,"Kraeff, Mr. Theodor","male",NA,0,0,"349253",7.8958,"C",""
751,3,0,"Danoff, Mr. Yoto","male",27,0,0,"349219",7.8958,"S","Bulgaria Chicago, IL"
464,2,0,"Jefferys, Mr. Ernest Wilfred","male",22,2,0,"C.A. 31029",31.5,"S","Guernsey / Elizabeth, NJ"
873,3,1,"Howard, Miss. May Elizabeth","female",NA,0,0,"A. 2. 39186",8.05,"S",""
1267,3,0,"Van Impe, Mr. Jean Baptiste","male",36,1,1,"345773",24.15,"S",""
1080,3,1,"Ohman, Miss. Velin","female",22,0,0,"347085",7.775,"S",""
811,3,0,"Ford, Mr. William Neal","male",16,1,3,"W./C. 6608",34.375,"S","Rotherfield, Sussex, England Essex Co, MA"
1078,3,1,"O'Driscoll, Miss. Bridget","female",NA,0,0,"14311",7.75,"Q",""
137,1,1,"Gracie, Col. Archibald IV","male",53,0,0,"113780",28.5,"C","Washington, DC"
1047,3,0,"Naidenoff, Mr. Penko","male",22,0,0,"349206",7.8958,"S",""
536,2,0,"Phillips, Mr. Escott Robert","male",43,0,1,"S.O./P.P. 2",21,"S","Ilfracombe, Devon"
775,3,0,"Dintcheff, Mr. Valtcho","male",43,0,0,"349226",7.8958,"S",""
422,2,0,"Giles, Mr. Ralph","male",24,0,0,"248726",13.5,"S","West Kensington, London"
1249,3,0,"Tikkanen, Mr. Juho","male",32,0,0,"STON/O 2. 3101293",7.925,"S",""
827,3,0,"Goodwin, Master. Sidney Leonard","male",1,5,2,"CA 2144",46.9,"S","Wiltshire, England Niagara Falls, NY"
360,2,1,"Caldwell, Master. Alden Gates","male",0.8333,0,2,"248738",29,"S","Bangkok, Thailand / Roseville, IL"
1099,3,0,"Palsson, Miss. Stina Viola","female",3,3,1,"349909",21.075,"S",""
251,1,1,"Ryerson, Miss. Emily Borie","female",18,2,2,"PC 17608",262.375,"C","Haverford, PA / Cooperstown, NY"
572,2,0,"Troupiansky, Mr. Moses Aaron","male",23,0,0,"233639",13,"S",""
661,3,1,"Baclini, Mrs. Solomon (Latifa Qurban)","female",24,0,3,"2666",19.2583,"C","Syria New York, NY"
323,1,1,"Young, Miss. Marie Grice","female",36,0,0,"PC 17760",135.6333,"C","New York, NY / Washington, DC"
773,3,0,"Dika, Mr. Mirko","male",17,0,0,"349232",7.8958,"S",""
1171,3,0,"Sage, Master. Thomas Henry","male",NA,8,2,"CA. 2343",69.55,"S",""
1006,3,0,"McEvoy, Mr. Michael","male",NA,0,0,"36568",15.5,"Q",""
946,3,1,"Lam, Mr. Ali","male",NA,0,0,"1601",56.4958,"S",""
834,3,0,"Green, Mr. George Henry","male",51,0,0,"21440",8.05,"S","Dorking, Surrey, England"
771,3,0,"Dennis, Mr. William","male",36,0,0,"A/5 21175",7.25,"S",""
346,2,0,"Berriman, Mr. William John","male",23,0,0,"28425",13,"S","St Ives, Cornwall / Calumet, MI"
1193,3,0,"Sawyer, Mr. Frederick Charles","male",24.5,0,0,"342826",8.05,"S",""
170,1,0,"Isham, Miss. Ann Elizabeth","female",50,0,0,"PC 17595",28.7125,"C","Paris, France New York, NY"
619,3,0,"Allen, Mr. William Henry","male",35,0,0,"373450",8.05,"S","Lower Clapton, Middlesex or Erdington, Birmingham"
23,1,1,"Behr, Mr. Karl Howell","male",26,0,0,"111369",30,"C","New York, NY"
964,3,0,"Leonard, Mr. Lionel","male",36,0,0,"LINE",0,"S",""
1057,3,1,"Nicola-Yarred, Master. Elias","male",12,1,0,"2651",11.2417,"C",""
29,1,1,"Bissette, Miss. Amelia","female",35,0,0,"PC 17760",135.6333,"S",""
87,1,1,"Daly, Mr. Peter Denis ","male",51,0,0,"113055",26.55,"S","Lima, Peru"
885,3,0,"Jensen, Mr. Niels Peder","male",48,0,0,"350047",7.8542,"S",""
1237,3,1,"Svensson, Mr. Johan Cervin","male",14,0,0,"7538",9.225,"S",""
967,3,0,"Lindahl, Miss. Agda Thorilda Viktoria","female",25,0,0,"347071",7.775,"S",""
708,3,0,"Carlsson, Mr. August Sigfrid","male",28,0,0,"350042",7.7958,"S","Dagsas, Sweden Fower, MN"
1147,3,0,"Rice, Mrs. William (Margaret Norton)","female",39,0,5,"382652",29.125,"Q",""
143,1,0,"Guggenheim, Mr. Benjamin","male",46,0,0,"PC 17593",79.2,"C","New York, NY"
28,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)","female",19,1,0,"11967",91.0792,"C","Dowagiac, MI"
949,3,0,"Lane, Mr. Patrick","male",NA,0,0,"7935",7.75,"Q",""
1174,3,0,"Sage, Miss. Constance Gladys","female",NA,8,2,"CA. 2343",69.55,"S",""
420,2,0,"Giles, Mr. Edgar","male",21,1,0,"28133",11.5,"S","Cornwall / Camden, NJ"
1038,3,1,"Moussa, Mrs. (Mantoura Boulos)","female",NA,0,0,"2626",7.2292,"C",""
37,1,1,"Bowerman, Miss. Elsie Edith","female",22,0,1,"113505",55,"S","St Leonards-on-Sea, England Ohio"
654,3,1,"Ayoub, Miss. Banoura","female",13,0,0,"2687",7.2292,"C","Syria Youngstown, OH"
130,1,1,"Geiger, Miss. Amalie","female",35,0,0,"113503",211.5,"C",""
485,2,1,"Lemore, Mrs. (Amelia Milley)","female",34,0,0,"C.A. 34260",10.5,"S","Chicago, IL"
103,1,1,"Earnshaw, Mrs. Boulton (Olive Potter)","female",23,0,1,"11767",83.1583,"C","Mt Airy, Philadelphia, PA"
971,3,1,"Lindqvist, Mr. Eino William","male",20,1,0,"STON/O 2. 3101285",7.925,"S",""
1050,3,1,"Nakid, Mr. Sahid","male",20,1,1,"2653",15.7417,"C",""
612,3,1,"Aks, Master. Philip Frank","male",0.8333,0,1,"392091",9.35,"S","London, England Norfolk, VA"
4,1,0,"Allison, Mr. Hudson Joshua Creighton","male",30,1,2,"113781",151.55,"S","Montreal, PQ / Chesterville, ON"
101,1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")","male",49,1,0,"PC 17485",56.9292,"C","London / Paris"
131,1,1,"Gibson, Miss. Dorothy Winifred","female",22,0,1,"112378",59.4,"C","New York, NY"
803,3,0,"Flynn, Mr. John","male",NA,0,0,"368323",6.95,"Q",""
157,1,0,"Head, Mr. Christopher","male",42,0,0,"113038",42.5,"S","London / Middlesex"
1307,3,0,"Zakarian, Mr. Mapriededer","male",26.5,0,0,"2656",7.225,"C",""
234,1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)","female",56,0,1,"11767",83.1583,"C","Mt Airy, Philadelphia, PA"
1079,3,1,"O'Dwyer, Miss. Ellen ""Nellie""","female",NA,0,0,"330959",7.8792,"Q",""
1165,3,0,"Saad, Mr. Amin","male",NA,0,0,"2671",7.2292,"C",""
1238,3,0,"Svensson, Mr. Olof","male",24,0,0,"350035",7.7958,"S",""
980,3,0,"Lundahl, Mr. Johan Svensson","male",51,0,0,"347743",7.0542,"S",""
118,1,1,"Francatelli, Miss. Laura Mabel","female",30,0,0,"PC 17485",56.9292,"C",""
40,1,0,"Brandeis, Mr. Emil","male",48,0,0,"PC 17591",50.4958,"C","Omaha, NE"
290,1,1,"Taussig, Miss. Ruth","female",18,0,2,"110413",79.65,"S","New York, NY"
1105,3,0,"Panula, Mr. Ernesti Arvid","male",16,4,1,"3101295",39.6875,"S",""
1291,3,1,"Wilkes, Mrs. James (Ellen Needs)","female",47,1,0,"363272",7,"S",""
1226,3,0,"Storey, Mr. Thomas","male",60.5,0,0,"3701",NA,"S",""
705,3,0,"Cann, Mr. Ernest Charles","male",21,0,0,"A./5. 2152",8.05,"S",""
125,1,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)","female",48,1,1,"13567",79.2,"C","Zurich, Switzerland"
1243,3,0,"Thomas, Mr. John","male",NA,0,0,"2681",6.4375,"C",""
362,2,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)","female",22,1,1,"248738",29,"S","Bangkok, Thailand / Roseville, IL"
1260,3,0,"Turcin, Mr. Stjepan","male",36,0,0,"349247",7.8958,"S",""
1144,3,0,"Rice, Master. Eric","male",7,4,1,"382652",29.125,"Q",""
693,3,0,"Buckley, Miss. Katherine","female",18.5,0,0,"329944",7.2833,"Q","Co Cork, Ireland Roxbury, MA"
478,2,0,"Lamb, Mr. John Joseph","male",NA,0,0,"240261",10.7083,"Q",""
1254,3,0,"Torfa, Mr. Assad","male",NA,0,0,"2673",7.2292,"C",""
821,3,1,"Goldsmith, Master. Frank John William ""Frankie""","male",9,0,2,"363291",20.525,"S","Strood, Kent, England Detroit, MI"
216,1,0,"Newell, Mr. Arthur Webster","male",58,0,2,"35273",113.275,"C","Lexington, MA"
342,2,1,"Becker, Miss. Ruth Elizabeth","female",12,2,1,"230136",39,"S","Guntur, India / Benton Harbour, MI"
1048,3,1,"Najib, Miss. Adele Kiamie ""Jane""","female",15,0,0,"2667",7.225,"C",""
534,2,1,"Phillips, Miss. Alice Frances Louisa","female",21,0,1,"S.O./P.P. 2",21,"S","Ilfracombe, Devon"
